title,date,userName,review,rating,isEdited,developerResponse
소음/호흡/혈중산소포화도,2022-04-20 23:25:07,💧.현.지.🔥,수면 질을 알려주고 얼마나 잤는지를 알려주는건 정말 좋은거같습니다 5900원 한번 내고 평생 수면 질을 알려주는 건 좋은데 애플워치 7을 사용하고 있는 유저인데 왜 소음 호흡 혈중산소포화도는 측정이 안되고 심박수만 측정이 될까요? 하려고 들어가보면 애플워치 시리즈 3 또는 6 위면 되는 걸로 나오는데요..,4,False,
쉽게 알아 볼 수 있어서 좋아요,2020-09-22 21:48:59,스프라이트1121,"애플의 수면은 그래프가 월요일인지 화요일인지 구분하기 힘든데 오토 슬립은 정확하게
월요일-화요일 이렇게 가르쳐줘서 한 눈에 알 수 있어서 편합니다. 
수면의 단계적인 구분의 정확성도 좋아서 유료로 결제 했지만 돈이 아깝지 않네요. 
처음에는 내가 건강앱의 취침 설정해둔 알람 시간때 심박수를 계산해서 하는 줄 알았는데 
취침시간 외에 낮잠을 자더라도 스마트 워치만 착용하고 있으면 오토 슬립이 체크해 냅니다. 신기🤗",5,False,
핏빗에서 애플워치 넘어옴,2018-03-05 23:24:06,데구르르르,"핏빗을 만족하면서 4년정도 썼는데 제품불량으로 인한 제품교환(밴드,기계오류등)을 두번 정도(핏빗 서비스정책은 정말 좋습니다) 교체해서 쓰다가 충전이 잘 안되는 결함이 또생겨서 그냥 애플워치로 넘어왔는데요. 다좋은데 수면체크기능이 없어서 너무 아쉬웠는데 이앱이 있어서 너무 좋아요. 핏빗은 자동수면체크라 새삼 아이폰에서 수면체크하고 어쩌고 하는게 너무 귀찮았거든요. 그런데 이앱이후 신경안쓰고 자면 수면 품질과 시간을 적당히 알림으로 알려줘서 몹시 편합니다. 강추합니다.",5,False,
"잘만 쓰고 있었는데,,,",2018-03-09 01:54:09,yskim93,"한 2개월 정도 잘 쓰고 있다가 최근에 한글업데이트가 되면서 이상해졌습니다... 
착용하고 하루 일과를 보내도 수면으로 인식이되고 있습니다. 민감도도 조정해 봤지만 소용 없구요. 메뉴얼은 죄다 영어로 돼 있어서 보기 힘들구요. 해결 방안좀 알려주세요",4,False,
좋은만큼 어렵,2022-01-24 23:35:59,SGMuk,"일생의 상당부분을 수면으로 보내기에 관심이 생겨서 공부하다 이앱을 이용했습니다
라이트하게 쓸수있다기보다는 수면에 대한 이해와 관심이 있으시고 영어메뉴널 읽을수 있으시다면 강추드림",5,False,
너무 잘 쓰고 있긴 해요,2021-07-04 02:35:59,옽슯,잘 쓰고 있긴 한데 왜 이렇게 에러가 자주 나요...? 중간에 애플워치 빼고 잔 것도 아니고 계속 그냥 끼고 자는데도 자꾸 에러 떠서 확인이 불가능해요... 큰 돈은 아니지만 돈 주고 샀는데...,4,False,
신통하네요,2018-11-16 07:46:36,숲의영웅,"언제 잠들었는지, 언제 기상하였는지, 헬스데이터와 연동하여 수면시 심박수, 깊은 수면은 몇퍼센트인지까지 전부 체크되어 수면의 질 측정에 매우 많은 도움이 됩니다. 이것저것 해보면서 수면의 질이 향상 될 수 있게 노력해보려 합니다. 감사합니다",5,False,
애플워치 사용자 입니다,2018-02-07 01:52:27,크로와아앙,"애플워치 여러가지 수면관리 앱 사용 해보고 autosleep이 곧 한글 지원 예정이라는 소식을 듣고 넘어왔습니다. 앱 설치만 해 놓으면 자동으로 수면측정이 가능하기 때문에 아이폰, 애플워치에서 소모되는 배터리 양도 적고(거의없음) 매번 수면 시작을 따로 해줘야 하는 다른 앱들에 비해 귀찮음이 없어서 편리한 앱입니다.",4,False,
10월들어서 측정이 잘 안됩니다,2021-10-28 11:41:22,최천재,ios15 영향인가요? 잘쓰던어플이라 측정이 안되서 너무 불편해요 수정해주세요 ㅜ,5,False,
수면측정,2018-02-07 22:24:21,Kawaiigun,기존에 미밴드쓰다가 애플워치로 넘어오면서 비슷한 기능의 앱들을 찾았는데 Autosleep이 가장 근접한 찾던 앱이네요.  그냥 애플워치만 차고 자면 수면 시간을 인식해서 계산해주니 좋습니다,5,False,
대체 왜이렇게 오류가 잘 걸리는건지,2021-08-14 01:33:30,ㄹㄹ0304,"두 달 째 사용하고 있지만 일주일에 2~3번 정도는 오류라면서 수면이 아예 뜨질 않습니다;; 처음부터 오류라고 뜨면 그렇다고 쳐도, 그래프 보던 중에 갑자기 오류라면서 내 눈앞에서 모든 통계가 전부 사라져버리고 에러 라고 뜹니다;; 참다참다 진짜 어이가 없어서 글 남겨요ㅋㅋ 유료어플이라도 추천받아서 쓰고 있는데;;",1,False,
일어 문제,2017-12-24 01:40:22,지산당,"저도 일어로 떠서 고생했네요. 개발사에 메일로 문의한 결과, 우선 2018년 1월 중에 한글이 지원될 예정이라고 합니다. 언어를 영어로 바꾸는 방법은 일반 -> 언어 및 지역 세팅에서 언어를 영어로 바꿨다가 다시 한국어로 바꾸면 영어가 나와요. 알려주기로는 애플워치도 언어를 바꿨다가 다시 한국어로 돌리면 된다고 했는데, 워치는 다시 일어로 돌아가 버리네요. 어쨌든 아이폰은 영어가 되니 참고하세요. 곧 한글 지원이 된다니 기다려 봐야죠 ㅋ",3,False,
애플워치 추천앱,2018-02-21 16:57:43,유똘군,교대근무자입니다. 수면 패턴을 파악하고 싶었는데 딱 맞는 앱을 찾았네요! 꽤 정확하고 좋은데~ 정확한 사용법 설명이 좀 부족한 것 같습니다. 한글화 된지 얼마 되지 않아서 일까요~ 보다 원활한 활용을 위해 설명부분 개선 부탁드려요~ 감사합니다.,5,False,
수면패턴이 뒤죽박죽이었는데,2020-08-21 17:40:44,나예여하하,"졸릴 때 자는 편이라 수면 패턴도 엉망이고 매일 가위나 악몽이나 아니면 몇일동안 못 자서 몰아서 엄청 깊게 자고 이러는 편인데, 스스로 수면 패턴을 정확하게 알고 싶어서 다운 받았어요. 워치와 같이 사용하고 있는데, 왜 내가 오늘 이렇게 피곤한지, 좀 더 잠을 보충해야할 필요성이 있는지 같은 것들을 확실히 알 수 있어서 좋았습니다.",5,False,
수면 시간 측정이 잘 안돼요,2021-10-25 01:47:41,비니에에에이이잉,"워치 차고 자는데 수면 시간 측정이 잘 안되네요.
친구 추천으로 다운받았는데 친구는 잘 된다고 하는데 저는 도무지 잘 측정이 안돼요..
예를 들어 어제는 제가 밤 11시부터 잠에 들었는데 오늘 보니 수면시간이 1시간 45분밖에 안된다고 뜹니다.
잘 때 뒤척임이 많기는 하지만 깨어있던적은 없는데요.
뭐가 문제인지, 뭘 손봐야되는지 알려주세요.",1,False,
신기하고 잘자게 만들어주는 어플,2019-12-08 03:04:47,홀롤롤롤렁ㄴ로,교대근무라 수면패턴을 알고 싶어서 구매했는데 나의 수면패턴을 보는 재미가 쏠쏠하고 내 수면패턴이 얼마나 쓰레기인지 새삼 깨닫게 해주는 어플입니다. 기능이 많지만 수면시작 버튼을 누르고 나면 뭔가 잠이 더 잘오는 플라시보 효과가 있습니다!!! ㅋㅋㅋ 전 정말 잠을 잘 못자는 사람인데 그것만으로 매우 만족하네요.,5,False,
