rating,date,userName,review,isEdited,title,developerResponse
5,2021-10-21 00:48:36,Lizois,This is the best app that I own and that I have ever owned. I was very very sick and I finally found a Doctor Who had the maps who could figure out what was wrong. There had been a long and inexplicable problem of chronic fatigue and adverse drug reactions and no one could get a handle on it. After mountains of blood tests he entered the room and he said you’re number one problem is sleep. You think you are sleeping but actuallyYou are not getting any deep sleep. Actually this was hard to understand because I had thought my sleep was OK… So I bought an Apple Watch and the first thing I did was install this sleep app. It is one of the best things I have done in my life. I have tried other apps and this one winsAll of the medals hands-down.I have now been using it every night for three years. I still have a sleep debt. I still don’t think I have penetrated all the good things that this app can do but the degree to which it has helped my health is extraordinary. Furthermore it has shown me when my heart has gone over 180 and I didn’t feel it. I am not particularly tech savvy but this app has been so accessible and the feedback it gives me every day helps me make sense of my challenges. I secretly feel profoundly grateful to the developers. I never used to have any idea about the crucial importance the absolutely crucial importance of quality sleep and without this app I wouldn’t be able to map it. Love and gratitude to the developers.,False,Best best best ever,
5,2020-06-14 03:58:22,DMFMDJD,"Autosleep and Healthwatch are simply incredible apps and a must for anyone interested in their health. I am a physician and a bit obsessed with data. I’ve tried a dozen health tracking devices and even more apps and these two, by far, are the most insightful and well designed apps for the iPhone and Apple Watch. I’ve spent hours over the last couple months reviewing the various trends and graphical analytics these apps offer for immediate and long term feedback on my sleep hygiene and heart health. My only wish is that the developer make more apps to track other aspects of health and wellness (SpO2, perfusion index, respiratory rate, and VO2 max as the Apple Watch 6 is rumored to have these features; caloric intake and nutrition; mental health and mindfulness; maybe even goal and habit tracking). These two apps pack so much analysis into a concise and easy to read manner, I wish the other wellness aspects that I track could offer as much insight. While those would require ground-up brand new apps, one thing which could possibly be incorporated into the HeartWatch app would be the ECG data. Even though it’s only one lead, tracking QTc and PR intervals should be doable. Just a thought for future iterations. Anyway, these apps are an incredible deal and offer way more for far less than anything else I’ve found on the App Store. Keep up the good work.",False,Best Health Apps By Far,
5,2021-04-24 21:48:41,RLNfirst,"I would like to take the time to sit down and talk about this unique app. I feel sometimes putting into words how nice something is, or should I say unique is not always easy. This is for myself one of those times. I truly thank the Developer or Developers for putting out such a great unique outstanding design app that gives great sleep tracking Data. I feel really the Developers have work really hard and put a great deal of time and yes love into this app. How do you know look at the updates that are being made! The Technology for apps is changing every second every minute and yes every day. I believe the Developer is on Top of the Technology with the Software that He is coding every second and minutes of the day. I hope really after you perhaps read this you will download this and give it a try! For myself the Technology Data I get from this app is correct! But in saying that do I feel it is always right? Sometimes I think know it’s wrong, but when I really start checking I find the app and the Developers were really right after all! Well time for me to move on and face the rest of the day. So please download the app try it you will not be disappointed or sorry! ( Really ) Thanks again to the Developer really a 5 star rating unique app.",False,Unique outstanding design Sleep App!,
4,2021-10-22 11:56:14,undrinkable,"I recently switched to an Apple Watch after my Fitbit finally died, and because Apple doesn’t have a native smart alarm feature (or they do, it just doesn’t work the way I need it to), I picked AutoSleep to fill that role. I’ve been using smart alarms for years and it’s improved my sleep and wake up, so this is definitely a necessity. 

This app is A LOT. There are a lot of steps to set up everything, which is great when you need to tweak every aspect of something, but not so great when all I wanted to do was set up an alarm for a timeframe during the week. READ THE MANUAL before you purchase so you know what you’re getting into—Google AutoSleep, find their website, and read at least the parts of the manual for the features you want (the guide is huge) to figure out if this is the right app for you. I didn’t find the guide to be super clear and had to read it a couple of times, but that could be a me thing. 

Don’t miss the part where you have to set up parts in the app if you don’t want to have to turn on your alarm every single day, and make sure to turn off your watch sounds for haptics only. There’s also no pop up on the watch face to turn off the alarm, you have to go into the app and turn it off, which I really hate. Overall, none of this is a dealbreaker, but I would definitely recommend knowing what you’re getting in to first.",False,"Complicated, but wildly customizable",
5,2017-05-28 01:20:11,Happy user#1,"THIS SHOULD BE ON THE APPLE WATCH OUT OF THE BOX!!! Both apps are $5 bucks total. NOTHING when you consider the cheapest apple band is $50!! And this offers soooo much versatility for your watch. I literally would have sold this Apple Watch if it were not for these apps! They NEVER CRASH AND NEVER HAVE AN ISSUE!! also the heart watch can ALERT YOU  WHEN YOUR HEART RATE IS TOO HIGH OR TOO LOW WHICH IS EXACTLY WHAT THE WATCH SHOULD DO!!! 

THE AUTO SLEEP TRACKING IS AS GOOD AND AS DETAILED AS FITBIT! For 2 bucks?!!? Come on that's a crazy deal, and the watch still has a full day battery even if you wear it to bed. I use it for voice to text alerts and emails all day at work and tracking a workout in morning with continuous heart rate tracking and still from putting it on at 10pm to track sleep , exercise at 6am, to work till 5 pm the watch still has about 20% left at 7-8pm. And if I charge it after waking from tracking sleep, for just 5 - 10 mins while I get ready in morning, brush and make coffee, it is back to 100%!! Again, Apple should be sooooo grateful that this company made these apps. I love that cardiogram is doing heart health studies with their apps and it's free, so we should all do it for the study, but THESE APPS, heart watch and auto sleep are waayy better cleaner and absolutely worth every cent. They are ESSENTIAL if you have an Apple Watch!",False,HEART WATCH&AUTO SLEEP ROCK!!,
5,2018-10-18 18:51:32,KingFlash,"I’ve had several activity trackers over the decade. They have had their strengths and weaknesses. Up until now, the Jawbone UP3 was the best for sleep tracking. My Garmin Vivoactive HR was great for activity, but terrible for monitoring sleep. I finally gave in to the Apple Watch series 4, and love it, but am still surprised that they don’t outright offer sleep tracking. I have a varied schedule and work nights, so knowing how behind or on track with sleep is very difficult. I skeptically bought the AutoSleep triad of apps and have been amazed at their accuracy. The auto sleep detect has been right on. And I am impressed with the ability to distinguish deep sleep. I can tell when that is accurate as well... I’ve felt tired after 7 hours of sleep and the app shows I got no deep sleep. Conversely, I’ll make up for it with 6 or 7 hours of sleep and have 3 hours of deep sleep and I feel great. So I know it’s accurate. The breakdown of my averages of sleep and heart rate are very useful as well. It’s not perfect. I’ve taken naps in the late afternoon that it has missed. But overall, the accuracy is stunning.

This is money extremely well-spent. It adds so much value to my Apple Watch for me. I can’t believe Apple has ignored this aspect of its health applications. But AutoSleep is about as good as it gets.",False,Rather outstanding,
5,2022-09-02 16:28:56,bridgetoneill,"I've been using this app for a couple years now, it was the first thing I bought when I got an Apple Watch, and it has been instrumental in helping improve my sleep issues.
The process has been long, and I've had to implement a lot of different things to support my sleep but AutoSleep has shown what works and what doesn't, it's helped me figure out the ideal time to wind down, it's shown me how alcohol impacts my heart rate and robs me of deep sleep, it's confirmed that my breathing patterns are problematic, it's shown how effective taking valerian root has been for me but how ineffective taking melatonin has been for me (you may have a different experience!) I could go on...  It has provided a ton of helpful data and with that data I've experimented and have gone from averaging 4/5 hours of sleep to averaging 6/7 hours of sleep. I chose this app over other apps because of the one time fee and I love that you don't have to do anything except fall asleep with your watch on for it to start tracking.
The only thing I haven't figured out is how to track my occasional 15/20 minute power naps. The app seems to only kick in if you've slept for over 30
minutes. Not a complaint, just an observation.
Sleep well!",False,my sleep has improved w/ this app,
5,2022-06-22 15:52:30,Dude0u812,"After Jawbone shut down their servers I had to scramble for a sleep tracker. Decided on Apple Watch, and then Pillow as the engine. It worked great for a couple years or so and thought it was as good as I could get from Apple Watch. 

But then, discovered AutoSleep. And for under $10 I got an entire package of apps that I “own” without the subscription monkey on my back. I still use Pillow (unsubscribed) for an alternate opinion on my sleep, but AutoSleep has become my favorite. So many better graphs and insights, and the included (in the package) Heart insights make this a great deal that no Apple Watch user should be without. In one glance I can see a visually clear picture of the stages of sleep, quantity of the stages, and I have the ability to drill down as need be. Only bummer is I have to trigger Apple’s “sleep” mode in order to capture respiratory data (grrr, Apple!!). Other than that, everything is indeed automatic.

Great deal, and I hope this app serves as an example of how excellent programming and design combined with a fair price out the door can eliminate “subscriptions” as a pricing model, especially when there is little outside data or server space involved. Hope they keep the doors open and their staff well fed.",False,App continues to satisfy,
5,2020-10-21 17:58:38,What Happened to Music?,"I’m one of those ‘go down the rabbit hole’ people who research everything. I spent a solid chunk of time researching sleep apps and settled on AutoSleep. BY FAR the best app right now! I’ve converted a number of people from Sleep Cycle and other various apps and they all love this one more. The ability to have it automatically determine when you’re sleeping is massive! It makes it VERY user friendly. The only thing I had to adjust to was charging my Apple Watch an hour before bed and then wearing it while I sleep, as I used to let it charge overnight. However, I’m super happy I made this small change because legitimately my sleep hygiene has improved along with my quality. The only hiccup I’ve ran into is to make sure my iPhone is NOT on the bed, as I have the setting turned on for it to think if I’m using the phone then I am awake. I thought this would mean actively using it (phone unlocked and screen on), but apparently it uses the sensors for movement as well. Not a big deal, though it’d be nice to have the option to turn that off (sometimes I fall asleep reading on my phone). 5/5 stars and highly recommend the app! This is coming from a random, unaffiliated user who never writes reviews!",False,The Best Sleep App Available!,
5,2020-12-03 10:53:34,Scdepatr,"There are few apps that I use every single day, but this is definitely one of them. Sleep is so important to the body and I really like seeing how I’m doing in that area. Checking my deep sleep, my total sleep, my heart rate and all of the other valuable information in this app is some thing I do each morning after I get up. On a few occasions I have gone to bed without my watch I really miss getting that level of detail about my sleep session. 

There is one thing I would love to see added to the app and that is a cat nap or a power nap feature. Maybe that would be added to auto awake and not auto sleep ... I’m not sure. I used to use a Jawbone before I got my Apple Watch and I loved that I had a power nap feature where I could push a button saying that I was going to lay down and go to sleep and then it would know when I fell asleep and wake me up 20 minutes later or 30 minutes later or whatever was in my settings. I miss being able to have some thing to track how long I’ve been asleep and then wake me up in a certain amount of time.

 If one of these two apps could do that ...it would be the perfect addition!",False,I check it every day!,
