title,isEdited,userName,review,rating,date,developerResponse
스마트폰 중독자의 최후템,False,kkhyeon,"인스타,페북 지워버리고 유튜브도 최대한 자제해보려고 했는데 그랬더니 카톡에 뜨는 유머글만 온종일 새로고침해서 보고있는 날 보며 진짜 지독하기 짝이
없다고 생각함ㅎ.. 해야할 일도 안하고 폰만하니 어쩌나 엄청 고민하고 있었는데 마침 이 어플을 발견함. 리뷰보니 진짜 중독방지된다길래 에이..설마ㅋ했고 돈이라도 내면 어떻게든 쓰지않을까 싶어서 결제했는데 첨엔 돈낸거 아까워서 써야지 라고 생각했던 마인드가 이젠 나무키워서 숲 조성하고싶어서, 포기하면 볼품없는 나무가 생기는게 싫어서 핸드폰을 안하게되네요ㅋㅋ 넘 신기해요 요즘은 이거땜에 몇달을 미루던 포트폴리오 작업물 정리도 하고있고 가계부정리, 방 대청소 등등을 하고있네요.. 핸드폰을 안하니 시간도 많아지고 할수있는게 너무 많아졌어요ㅎㅎ 머리도 비우는 느낌이고.. 중독자인 저한테 제 시간을 선물해줘서 고마워요 늘 행복하세요!",5,2021-01-02 01:08:24,
잘 쓰고 있어요,False,뵤뱌뱌,집중해야 할 때 도움이 됩니다! 개인적으로 아쉬운 점은 제가 뽀모도로 타이머처럼 25분 집중 5분 휴식 이런 식으로 하는 편이라 2시간짜리 예쁜 나무를 거의 못 봐서 아쉬워요ㅠㅜ 한 나무에 시간을 여러번 누적할 수 있는 방법이 업데이트되어도 좋을 것 같아요,5,2020-12-10 03:17:37,
확실히 폰을 안하게 됩니다 !,False,대학가고만다,"이제 고3의 인생을 시작하는 저로서 이 앱을 평가 해보자면,,,유튭의 알고리즘에 빠져 1시간은 기본이고 하루에 2~3시간은 핸드폰을 하면서 시간을 보냈습니다. 딴 짓거리를 그만해야겠다고 마음먹어도 20분뒤에 메신저를 확인하는 저의 모습을 발견했어요..ㅠ아직 하루밖에 되지 않았지만 의지가 약한 저에게 많은 도움이 되고 있습니다 ! 첫 유료결제앱이어서 떨면서 결제했었는데 정말 잘한선택인것같아요 고3여러분 내년에 같이 대학갑시다아ㅏ아아",5,2020-03-01 06:33:33,
후우,False,고기만듀젤루저앙,"제가 진득하니 가만히 앉아 있지를 못하는 성격이라 시험은 붙고싶은데 주위가 산만해서 어떤 타이머 어플을 써도 별로 눈에 보이는 성과가 없어서 효과가 없었는데 포레스트 어플은 내가 한만큼의 결과로 나무를 심어서 다른 사람한테도 좋은 일 을 할 수 있다기에 결제하여 사용하고 있습니다. 한 2주째 사용중인데 아직 적응은 잘 못하고 있지만 전보다는 진짜 확실하게 열심히 하려고 합니다ㅎㅎ 포레스트 어플 만나서 좋은 일도 하는거 같아 뿌듯하고, 앞으로 더욱 열심히 해서 시험 좋은 결과도 얻고싶네요ㅠㅠ 포레스트 개발자님 좋은 어플 만들어주셔서 감사하고 흥 하시길 응원합니다!!",5,2020-04-09 08:08:55,
쓸모없을줄알았는데 생각보다 공부하게 유도해주는거같아요 !,False,아미입니다,"현재 고1 학생입니다 저는 폰중독이라 공부를할 의지가있었지만 책을펴도 5분도안되서 침대에누워서 내일로미루고 폰을 했었어요 항상 하루일과가 거의 이패턴일정도,, 그래서 막 왜이러고 살지 하고 자괴감도많이들고 그랬어요 이런앱 하도많이깔아봤지만 ,, 아이폰에서 시간정해서 어플자체 사용을 막을수있는 앱은 없더라고요 진짜 폰을 버리지않고서는 휴대폰사용을 제가알아서 통제 할수있는것도 아니고 되게 막막했죠 1학기성적표를보고 이제는 정신차려야겠다 생각이들어서 쥐푸라기 잡는 심정으로 이것저것 찾아보다가 이앱을 발견하게됬어요 이것도 다른거랑 똑같을거라고 생각했지만 유료니까 뭔가가 다를꺼야 라는생각으로 깔게됬는데 정말 생각보다 저만그런건지 모르겠는데 폰을 덜하게 해주네요 ㅋㅋ 이앱은 나무를 키우게해서 다른앱을 들어가면 썩어버리는 그런식으로 나무를 키워서숲을 조성해나가는 그런형식이에요 자신이 시간을 정해서 공부를 하고 그시간이 지나면 코인을 주는데 자신이 공부한 시간에따라 코인을 모을수있어서 성취감도 있는것같아요 ! 코인으로 다른나무나,공부할때듣는음악(?) 도 구매할수있어요 대부분의 게임에서 돈을모아 아이템을 사는것처럼 이앱은 내가 공부한 시간에 따라 코인을 모으는 형식이라 색다르고 재밌는것같아요 공부하다가 폰만지고싶은생각들어서 폰을키면 나무가 몇시간후에 자라는지까지 뜨니까 좀만 참자 이런생각이 들면서 폰만지고싶다는 생각은 사라지고 오히려 조금이나마 공부할수있도록 도움을 준거같아요 공부할의지는 있는데 자신이 폰중독이라 통제를 하실수없는분 이앱을 4일정도 사용하시면서 공부하시면 도움이 될지도 모르겠네요 〰️",5,2019-08-18 04:24:32,
지속적인 업데이트 굿굿!,False,맛있는족발,"집중 시간 끝난 뒤 쉬는 시간 설정하는 거랑 자연의 소리 지원해주는 게 너무 좋아요ㅠㅠㅠㅠ
예쁜 나무도 많고요! 갈수록 늘어나네요 굿굿
휴대폰 중독에서 벗어나고 지구에도 도움이 되는 멋진 앱입니다. 실제로 나무 몇 번 심어봤는데 뿌듯해요ㅋㅋㅋㅋㅋ
아기자기 한 것, 키우기 게임 좋아하는 분들한테 강추합니다
돈값하는 녀석이에요ㅎㅎㅎ",5,2017-09-16 15:56:01,
가로모드로 만들어 줬으면 합니다,False,핑크큐브,"너무나게도 만족하고 있고, 핸드폰과 태블릿을 만지자마자 유튜브와 인스타그램 등등 SNS늪에서 빠져 나오지 못했다가 이 어플로 통하여 천천히 나올수 있었습니다. (양심이 걸려서 ㅋㅋ) 저는 태블릿을 가로로 나두고 남은 시간을 확인을 할때도 있고 때론 학습을 태블릿으로 하는데…이 어플은 오직 세로모드로 고정이 되어 있어서… 좀 아쉽습니다… 

개인적으로 가로모드가 생겼으면 합니다…감사합니다!!!! ㅎㅎ",4,2021-10-06 08:36:35,"{'id': 26862814, 'body': '오래 기다려주셨습니다🥰\n이제 Forest에서도 iPad용 가로 모드를 지원한답니다!\n앞으로도 희망하시는 기능들을 많이 추가할 수 있도록 노력하겠습니다.\n좋은 별점과 후기는 Forest가 더 많은 기능을 만들 수 있는 힘이 됩니다.\n항상 사랑해 주셔서 감사드리며 매일 즐거운 집중되시길 바라요🌱', 'modified': '2021-12-16T03:08:27Z'}"
좋아요,False,다뭉이♥️,고2인데요 핸드폰 사용량이 증가하였고 많이 사용하여 여러 사람들의 추천으로 구매하게 되었는데 핸드폰 사용량이 줄었으며 이 시간들로 나무를 가꿀 수 있으며 채울 때 마다 뿌듯함을 느낄 수 있었습니다. 또한 실제로 모은 코인으로 나무를 심을 수 있다는 점에 놀랐습니다!,5,2021-08-08 15:14:22,
건의사항,False,미먐모,"어플 좋아요... 좋은데 휴대폰을 안 쓸 시간을 미리 설정해야 한다는 점이 불편할 때가 많아요ㅜㅜ 급하게 휴대폰을 써야 할 상황이 가끔 생기는데 설정해둔 시간이 한참 남아있으면 나무를 그냥 죽일 수도 없고 아까워서 어떻게 해야 할지 모르겠어요... 최대 120분까지라 2시간마다 시작버튼을 새로 눌러줘야 하는 것도 그렇고요...
아예 다른 어플들처럼 시작버튼을 누르거나 일정시간 이상 휴대폰을 뒤집어놓으면, 그 시간 동안 나무가 자라는 방식이었으면 더 좋았을 것 같아요ㅠ 짤막하게 휴대폰 안 써야지, 할 때는 좋은데 오래 공부하면서 쓰기엔 많이 아쉬워요...",5,2019-03-29 10:44:48,
의지력 활활,False,비지엥,"방학은 다 끝나가는데 아직도 나태한 저 자신을 위해,,, 유료이지만 평생 쓴다는 생각으로 구매했습니다 초반에는 예쁜 나무들이 없고 기본 두 개만 있어서 빨리 이것저것 키우고 코인도 모으고 싶다는 생각이 들더라구요 휴식을 할 때도 공부를 할 때도 계속 켜놓고 휴대폰을 안 만지니 나무도 자라고 코인도 많이 받고! 이런 지속적인 동기부여 너무 좋은 것 같아요 그리고 환경에 관심이 많은데 모은 코인으로 지구에 나무를 심을 수 있다는 게 뿌듯했습니다! 앞으로도 많이 이용해서 핸드폰 하는 시간을 확 줄이고 싶어요~!",5,2021-08-09 14:56:06,
공부하면서 집중하려고 샀어요,False,qawszx1,"이제 이틀차인데 확실히 아기자기 예쁘고 좋습니다!
그런데 하루의 시작을 자정 열두시가 아닌 새벽 여섯시로 설정할수 있었으면 좋겠어요..ㅜㅜ 그러면 하루 공부량을 확인하기 더 쉬울것 같습니다",5,2020-04-01 16:46:00,
Korean version🙏,False,찌발발,유료라서 살까말까 고민했는데 시험이 임박해서 속는셈치고 사봤습니다만 엄청 도움되네요. 나무따위 말라도 알게뭐야하면서 폰할줄알았는데 나무가 마르면 막 미래도 말라가는것같아서 열심히 키우게 되네요 다만 영어인 부분과 가로버전이 없는게 아쉽네요 주기적인 업데이트가 있으니까 언젠가 나오길 기대해봅니다 그전에 시험끝나겠지만😂 i want korea version and horizon version. Baobabtree is gooooooood,5,2018-06-20 09:35:33,
화이트리스트,False,의지부족쟁이,정말 잘 쓰고 있는 앱이에요! 나무 죽이기 싫어서 휴대폰을 내려놓게 되더라구요 ㅎㅎㅎㅎ 정말 다 좋은데 아이폰에는 화이트리스트가 없나요? 안드로이드 쓰는 친구는 있는데 전 설정에서 못찾겠어서요ㅜㅜ 문자정도는 보내고 싶은데 그러질 못하네요ㅜ 궁금해서 여쭤봐요!,5,2018-01-08 10:04:04,
애플워치앱 개선좀,False,임재숭,애플워치와 포레스트가 연동하는 최고의 방식은 오늘 현황을 보는게 아니라..타이머를 바로 사용할수 있게 하는 것이라고 생각합니다 꼭 만들어주세요,4,2022-01-16 14:51:01,
다 좋은데,False,ddcugikjvy,"가로모드도 지원해주시면 안될까요 ㅠㅠ
휴대폰 안들고 다닐때는 아이패드를 사용하는데요 
아이패드는 가로모드로 항상 사용중이라 
가로모드가 안돼서 아쉬워요ㅜㅜ 있는데 제가 못찾은 걸까용 ㅜㅜ",5,2021-07-01 09:13:06,
건의사항 있습니다!!,False,배노냡,"앱 자체는 아주 좋아요!! 한 가지 바라는 게 있다면, 상점에 음악이 더 있었으면 좋겠어요! 예를 들면 장작타는 소리 같은 걸로요",5,2021-04-14 07:20:57,
아이패드 가로 회전 개선해주세요,False,dltltla,어플 항상 잘 쓰고 있습니다 !! 다만 아이패드에서 세로 고정되어 있어서 조금 불편해요 가로 회전도 허용해주세요 !!,5,2021-06-30 07:23:37,
언어선택!!,False,카톡안해요,"매우 잘 사용하고 잇는 앱입니다!! 
친구에게 추천해주엇어요 
핸드폰도 안보고 실제 나무도 심고 좋네여!!!",5,2017-10-20 09:16:43,
좋아요,True,whdbdbd,"너무 잘쓰고 있어요
새벽공부하면 오전이라 다음날로 넘어가서 시간이 측정되는게 불편해요ㅜㅜㅜㅠ
공부시간 기록 초기화 되는 변경 시간을 을 사용자마다 바꿀 수 있었으면 좋겠어요ㅠ 제발요ㅜㅜ",4,2019-01-11 16:07:26,"{'id': 6219226, 'body': 'Hello,\n\nWe have received a lot of suggestions on extending the plant time. We will forward your suggestion to the team.\n\nThank you for contacting us! :) - Forest', 'modified': '2019-01-11T16:07:26Z'}"
